start_date,agency_name,value
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,235400.0
2010-01-01,Department of Infrastructure Transport Regional Development and Local Government,17872.53
2010-03-21,Department of Infrastructure Transport Regional Development and Local Government,100000.0
2010-01-19,Department of Infrastructure Transport Regional Development and Local Government,75221.78
2010-01-01,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-01-12,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-01-11,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-01-13,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-01-11,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-01-18,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-02-15,Department of Infrastructure Transport Regional Development and Local Government,73150.0
2010-01-11,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,30520.0
2010-01-25,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,23000.0
2010-01-15,Department of Infrastructure Transport Regional Development and Local Government,13918.69
2010-01-11,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-01-16,Department of Infrastructure Transport Regional Development and Local Government,21400.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-01-19,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-03-16,Department of Infrastructure Transport Regional Development and Local Government,60000.0
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,32190.4
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-01-15,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-02-01,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,29700.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,30800.0
2010-01-05,Department of Infrastructure Transport Regional Development and Local Government,65000.0
2010-01-31,Department of Infrastructure Transport Regional Development and Local Government,39138.75
2010-01-01,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-01-28,Department of Infrastructure Transport Regional Development and Local Government,55000.0
2010-02-03,Department of Infrastructure Transport Regional Development and Local Government,10547.0
2010-02-01,Department of Infrastructure Transport Regional Development and Local Government,41390.8
2010-02-08,Department of Infrastructure Transport Regional Development and Local Government,38500.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-02-08,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-02-09,Department of Infrastructure Transport Regional Development and Local Government,23623.0
2010-01-19,Department of Infrastructure Transport Regional Development and Local Government,108000.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-01-19,Department of Infrastructure Transport Regional Development and Local Government,116000.0
2010-02-09,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-02-08,Department of Infrastructure Transport Regional Development and Local Government,13200.0
2010-02-24,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,54219.0
2010-02-15,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-02-24,Department of Infrastructure Transport Regional Development and Local Government,18406.3
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,12100.0
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,27000.0
2010-02-16,Department of Infrastructure Transport Regional Development and Local Government,27000.0
2010-02-22,Department of Infrastructure Transport Regional Development and Local Government,46750.0
2010-02-18,Department of Infrastructure Transport Regional Development and Local Government,29000.0
2010-02-05,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,20070.45
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,20070.45
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,1850000.0
2010-02-19,Department of Infrastructure Transport Regional Development and Local Government,100902.93
2010-01-11,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-11-02,Department of Infrastructure Transport Regional Development and Local Government,12965.0
2010-03-04,Department of Infrastructure Transport Regional Development and Local Government,14000.0
2010-01-14,Department of Infrastructure Transport Regional Development and Local Government,16688.88
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,36776.35
2010-02-23,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-03-10,Department of Infrastructure Transport Regional Development and Local Government,12100.0
2010-03-08,Department of Infrastructure Transport Regional Development and Local Government,45100.8
2010-03-02,Department of Infrastructure Transport Regional Development and Local Government,64652.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,110000.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,20900.0
2010-03-10,Department of Infrastructure Transport Regional Development and Local Government,10972.5
2010-03-03,Department of Infrastructure Transport Regional Development and Local Government,12650.0
2010-01-27,Department of Infrastructure Transport Regional Development and Local Government,84115.42
2010-01-21,Department of Infrastructure Transport Regional Development and Local Government,19601.81
2010-02-15,Department of Infrastructure Transport Regional Development and Local Government,64350.0
2010-02-16,Department of Infrastructure Transport Regional Development and Local Government,79501.09
2010-03-11,Department of Infrastructure Transport Regional Development and Local Government,23000.0
2010-03-09,Department of Infrastructure Transport Regional Development and Local Government,79695.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,19000.0
2010-03-23,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-03-22,Department of Infrastructure Transport Regional Development and Local Government,26500.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,49500.0
2010-03-15,Department of Infrastructure Transport Regional Development and Local Government,10073.8
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-04-03,Department of Infrastructure Transport Regional Development and Local Government,47520.0
2010-04-08,Department of Infrastructure Transport Regional Development and Local Government,28985.0
2010-03-22,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-03-16,Department of Infrastructure Transport Regional Development and Local Government,77248.0
2010-03-22,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,12969.11
2010-05-03,Department of Infrastructure Transport Regional Development and Local Government,10530.0
2010-04-07,Department of Infrastructure Transport Regional Development and Local Government,55000.0
2010-04-06,Department of Infrastructure Transport Regional Development and Local Government,1871242.0
2010-03-15,Department of Infrastructure Transport Regional Development and Local Government,21000.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,46480.64
2010-03-16,Department of Infrastructure Transport Regional Development and Local Government,17391.0
2010-03-25,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-03-30,Department of Infrastructure Transport Regional Development and Local Government,14526.15
2010-04-10,Department of Infrastructure Transport Regional Development and Local Government,121533.5
2010-03-15,Department of Infrastructure Transport Regional Development and Local Government,22000.0
2010-03-11,Department of Infrastructure Transport Regional Development and Local Government,71500.0
2010-03-05,Department of Infrastructure Transport Regional Development and Local Government,64350.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,380204.0
2010-03-18,Department of Infrastructure Transport Regional Development and Local Government,731280.0
2010-02-24,Department of Infrastructure Transport Regional Development and Local Government,10713.4
2010-03-04,Department of Infrastructure Transport Regional Development and Local Government,10789.63
2010-03-04,Department of Infrastructure Transport Regional Development and Local Government,10789.63
2010-03-06,Department of Infrastructure Transport Regional Development and Local Government,11221.73
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,11597.17
2010-02-28,Department of Infrastructure Transport Regional Development and Local Government,12898.2
2010-02-28,Department of Infrastructure Transport Regional Development and Local Government,13174.82
2010-04-06,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-03-31,Department of Infrastructure Transport Regional Development and Local Government,63451.3
2010-04-06,Department of Infrastructure Transport Regional Development and Local Government,18412.9
2010-03-31,Department of Infrastructure Transport Regional Development and Local Government,569160.9
2010-04-07,Department of Infrastructure Transport Regional Development and Local Government,109776.7
2010-03-22,Department of Infrastructure Transport Regional Development and Local Government,687641.9
2010-02-15,Department of Infrastructure Transport Regional Development and Local Government,2270500.0
2010-04-14,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-03-30,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,47000.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,47000.0
2010-04-20,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-04-21,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-03-29,Department of Infrastructure Transport Regional Development and Local Government,90338.0
2010-04-15,Department of Infrastructure Transport Regional Development and Local Government,10450.0
2010-04-15,Department of Infrastructure Transport Regional Development and Local Government,10982.4
2010-04-16,Department of Infrastructure Transport Regional Development and Local Government,17786.07
2010-04-23,Department of Infrastructure Transport Regional Development and Local Government,40040.0
2010-04-30,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-05-03,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-04-29,Department of Infrastructure Transport Regional Development and Local Government,12800.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,93626.43
2010-04-22,Department of Infrastructure Transport Regional Development and Local Government,14679.94
2010-04-27,Department of Infrastructure Transport Regional Development and Local Government,50160.0
2010-01-25,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-04-08,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-05-03,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-02-17,Department of Infrastructure Transport Regional Development and Local Government,36933.17
2010-02-03,Department of Infrastructure Transport Regional Development and Local Government,26400.0
2010-04-22,Department of Infrastructure Transport Regional Development and Local Government,11880.0
2010-05-01,Department of Infrastructure Transport Regional Development and Local Government,38000.0
2010-05-07,Department of Infrastructure Transport Regional Development and Local Government,35000.0
2010-05-06,Department of Infrastructure Transport Regional Development and Local Government,38500.0
2010-04-27,Department of Infrastructure Transport Regional Development and Local Government,52250.0
2010-04-15,Department of Infrastructure Transport Regional Development and Local Government,51700.0
2010-03-02,Department of Infrastructure Transport Regional Development and Local Government,198000.0
2010-02-26,Department of Infrastructure Transport Regional Development and Local Government,169840.0
2010-03-02,Department of Infrastructure Transport Regional Development and Local Government,10745.15
2010-05-14,Department of Infrastructure Transport Regional Development and Local Government,29210.6
2010-05-13,Department of Infrastructure Transport Regional Development and Local Government,44000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,21124.13
2010-04-21,Department of Infrastructure Transport Regional Development and Local Government,17800.2
2010-04-20,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-05-05,Department of Infrastructure Transport Regional Development and Local Government,10395.0
2010-03-15,Department of Infrastructure Transport Regional Development and Local Government,64350.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,38500.0
2010-05-20,Department of Infrastructure Transport Regional Development and Local Government,35200.0
2010-05-18,Department of Infrastructure Transport Regional Development and Local Government,79000.0
2010-05-19,Department of Infrastructure Transport Regional Development and Local Government,22984.5
2010-05-07,Department of Infrastructure Transport Regional Development and Local Government,73370.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-05-13,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,18125.25
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,39720.0
2010-03-02,Department of Infrastructure Transport Regional Development and Local Government,15840.0
2010-02-26,Department of Infrastructure Transport Regional Development and Local Government,13587.2
2010-05-13,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-05-19,Department of Infrastructure Transport Regional Development and Local Government,56330.0
2010-05-20,Department of Infrastructure Transport Regional Development and Local Government,19377.6
2010-04-29,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-05-19,Department of Infrastructure Transport Regional Development and Local Government,732358.0
2010-05-18,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,10631.6
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,658552.26
2010-05-07,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-04-14,Department of Infrastructure Transport Regional Development and Local Government,52250.0
2010-01-25,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-05-27,Department of Infrastructure Transport Regional Development and Local Government,15525.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,77489.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,10200.0
2010-05-20,Department of Infrastructure Transport Regional Development and Local Government,12800.0
2010-05-25,Department of Infrastructure Transport Regional Development and Local Government,64000.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,33725.6
2010-05-27,Department of Infrastructure Transport Regional Development and Local Government,40870.5
2010-05-28,Department of Infrastructure Transport Regional Development and Local Government,19800.0
2010-05-28,Department of Infrastructure Transport Regional Development and Local Government,22000.0
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,28400.9
2010-03-12,Department of Infrastructure Transport Regional Development and Local Government,37575.0
2010-05-25,Department of Infrastructure Transport Regional Development and Local Government,29700.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,193644.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,94875.0
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,15500.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,10397.45
2010-06-02,Department of Infrastructure Transport Regional Development and Local Government,36663.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,40700.0
2010-04-29,Department of Infrastructure Transport Regional Development and Local Government,13000.0
2010-05-17,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-05-26,Department of Infrastructure Transport Regional Development and Local Government,10155.33
2010-05-27,Department of Infrastructure Transport Regional Development and Local Government,10581.44
2010-05-26,Department of Infrastructure Transport Regional Development and Local Government,11282.84
2010-05-20,Department of Infrastructure Transport Regional Development and Local Government,11674.8
2010-05-09,Department of Infrastructure Transport Regional Development and Local Government,12541.93
2010-05-09,Department of Infrastructure Transport Regional Development and Local Government,12541.93
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,29150.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,27000.0
2010-06-03,Department of Infrastructure Transport Regional Development and Local Government,190865.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,13200.0
2010-05-05,Department of Infrastructure Transport Regional Development and Local Government,32800.0
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,36600.0
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,203500.0
2010-03-25,Department of Infrastructure Transport Regional Development and Local Government,11549.14
2010-06-01,Department of Infrastructure Transport Regional Development and Local Government,61341.5
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,39064.3
2010-06-08,Department of Infrastructure Transport Regional Development and Local Government,63904.5
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-05-24,Department of Infrastructure Transport Regional Development and Local Government,13750.0
2010-05-21,Department of Infrastructure Transport Regional Development and Local Government,72000.0
2010-05-10,Department of Infrastructure Transport Regional Development and Local Government,750000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,29040.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,11362.08
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,18150.0
2010-06-17,Department of Infrastructure Transport Regional Development and Local Government,245316.57
2010-03-25,Department of Infrastructure Transport Regional Development and Local Government,14652.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,70000.0
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,120000.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,130000.0
2010-06-19,Department of Infrastructure Transport Regional Development and Local Government,13952.4
2010-06-25,Department of Infrastructure Transport Regional Development and Local Government,143000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,44000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,105000.0
2010-06-25,Department of Infrastructure Transport Regional Development and Local Government,82034.0
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,795605.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-05-01,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-05-11,Department of Infrastructure Transport Regional Development and Local Government,12186.56
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,51600.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,184009.0
2010-06-11,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-05-21,Department of Infrastructure Transport Regional Development and Local Government,52800.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,19734.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,432072.0
2010-06-17,Department of Infrastructure Transport Regional Development and Local Government,80850.0
2010-06-07,Department of Infrastructure Transport Regional Development and Local Government,108680.0
2010-02-25,Department of Infrastructure Transport Regional Development and Local Government,25759.8
2010-10-06,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,139590.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-06-21,Department of Infrastructure Transport Regional Development and Local Government,90750.0
2010-02-21,Department of Infrastructure Transport Regional Development and Local Government,76516.0
2010-06-22,Department of Infrastructure Transport Regional Development and Local Government,433900.0
