start_date,agency_name,value
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,32000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,35000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,49999.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,26000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,42000.0
2010-07-05,Department of Infrastructure Transport Regional Development and Local Government,17000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,48000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,26500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15840.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,28500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,81000.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,70000.0
2010-06-29,Department of Infrastructure Transport Regional Development and Local Government,334954.62
2010-06-28,Department of Infrastructure Transport Regional Development and Local Government,150000.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,18150.0
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,13255.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-06-15,Department of Infrastructure Transport Regional Development and Local Government,350000.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,270000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,270000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,140000.0
2010-06-23,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,672933.8
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,300000.0
2010-07-14,Department of Infrastructure Transport Regional Development and Local Government,36000.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,12500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,400000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,200000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,12980.0
2010-06-29,Department of Infrastructure Transport Regional Development and Local Government,103020.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,90945.75
2010-07-06,Department of Infrastructure Transport Regional Development and Local Government,79200.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,1438104.7
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,125000.0
2010-07-20,Department of Infrastructure Transport Regional Development and Local Government,12800.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,13500.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,22500.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,22500.0
2010-06-18,Department of Infrastructure Transport Regional Development and Local Government,180000.0
2010-07-13,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,19500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,75000.0
2010-05-06,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-01-12,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,355000.0
2010-07-12,Department of Infrastructure Transport Regional Development and Local Government,54410.0
2010-07-16,Department of Infrastructure Transport Regional Development and Local Government,19850.0
2010-01-22,Department of Infrastructure Transport Regional Development and Local Government,22890.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,49500.0
2010-07-19,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,11500.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,1050575.73
2010-06-30,Department of Infrastructure Transport Regional Development and Local Government,43168.66
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,20900.0
2010-07-06,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,65000.0
2010-07-23,Department of Infrastructure Transport Regional Development and Local Government,12500.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,129291.69
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,184150.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,295600.0
2010-06-24,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-06-18,Department of Infrastructure Transport Regional Development and Local Government,21160.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,45984.0
2010-07-30,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-07-30,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-27,Department of Infrastructure Transport Regional Development and Local Government,15620.0
2010-07-27,Department of Infrastructure Transport Regional Development and Local Government,29403.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,104456.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,102660.0
2010-06-04,Department of Infrastructure Transport Regional Development and Local Government,60500.0
2010-07-20,Department of Infrastructure Transport Regional Development and Local Government,15463.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,440000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,79860.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,39479.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,14400.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,72700.1
2010-08-02,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-08-02,Department of Infrastructure Transport Regional Development and Local Government,13500.0
2010-03-17,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-07-15,Department of Infrastructure Transport Regional Development and Local Government,230000.0
2010-08-04,Department of Infrastructure Transport Regional Development and Local Government,43800.0
2010-07-28,Department of Infrastructure Transport Regional Development and Local Government,45000.0
2010-08-10,Department of Infrastructure Transport Regional Development and Local Government,13200.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,29000.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,29000.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,24500.0
2010-08-10,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,18563.25
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,25742.39
2010-06-10,Department of Infrastructure Transport Regional Development and Local Government,22770.0
2010-08-11,Department of Infrastructure Transport Regional Development and Local Government,29400.0
2010-07-26,Department of Infrastructure Transport Regional Development and Local Government,79000.0
2010-08-09,Department of Infrastructure Transport Regional Development and Local Government,12505.0
2010-08-05,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,44880.0
2010-08-19,Department of Infrastructure Transport Regional Development and Local Government,80000.0
2010-08-06,Department of Infrastructure Transport Regional Development and Local Government,86480.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,20871.66
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,37123.55
2010-08-09,Department of Infrastructure Transport Regional Development and Local Government,139590.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,38527.5
2010-08-17,Department of Infrastructure Transport Regional Development and Local Government,34100.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,21600.0
2010-08-24,Department of Infrastructure Transport Regional Development and Local Government,200000.0
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,68640.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-08-13,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,11838.0
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,10000.0
2010-09-20,Department of Infrastructure Transport Regional Development and Local Government,20800.0
2010-08-26,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-07-22,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-08-30,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-11,Department of Infrastructure Transport Regional Development and Local Government,60000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,35000.0
2010-09-01,Department of Infrastructure Transport Regional Development and Local Government,68964.45
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,10945.0
2010-07-30,Department of Infrastructure Transport Regional Development and Local Government,10340.43
2010-08-10,Department of Infrastructure Transport Regional Development and Local Government,10516.28
2010-09-03,Department of Infrastructure Transport Regional Development and Local Government,19522.8
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-08-26,Department of Infrastructure Transport Regional Development and Local Government,12250.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,49500.0
2010-05-31,Department of Infrastructure Transport Regional Development and Local Government,11445.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,56260.0
2010-08-19,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-08-24,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-09-01,Department of Infrastructure Transport Regional Development and Local Government,88000.0
2010-08-20,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-09-02,Department of Infrastructure Transport Regional Development and Local Government,22000.0
2010-09-02,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-09-02,Department of Infrastructure Transport Regional Development and Local Government,18000.0
2010-08-27,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,60000.0
2010-09-03,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-08-31,Department of Infrastructure Transport Regional Development and Local Government,17000.0
2010-03-03,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-08-03,Department of Infrastructure Transport Regional Development and Local Government,10300.0
2010-07-15,Department of Infrastructure Transport Regional Development and Local Government,18064.2
2010-09-06,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-09-06,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-08-20,Department of Infrastructure Transport Regional Development and Local Government,12457.5
2010-09-13,Department of Infrastructure Transport Regional Development and Local Government,13750.0
2010-09-21,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-08-31,Department of Infrastructure Transport Regional Development and Local Government,14766.0
2010-09-21,Department of Infrastructure Transport Regional Development and Local Government,38511.0
2010-08-31,Department of Infrastructure Transport Regional Development and Local Government,32901.0
2010-09-13,Department of Infrastructure Transport Regional Development and Local Government,87037.5
2010-07-07,Department of Infrastructure Transport Regional Development and Local Government,50000.0
2010-09-14,Department of Infrastructure Transport Regional Development and Local Government,19000.0
2010-09-15,Department of Infrastructure Transport Regional Development and Local Government,51000.0
2010-09-15,Department of Infrastructure Transport Regional Development and Local Government,46000.0
2010-09-15,Department of Infrastructure Transport Regional Development and Local Government,49857.5
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,62600.0
2010-09-10,Department of Infrastructure Transport Regional Development and Local Government,60939.9
2010-06-09,Department of Infrastructure Transport Regional Development and Local Government,750000.0
2010-07-23,Department of Infrastructure Transport Regional Development and Local Government,16500.0
2010-09-16,Department of Infrastructure Transport Regional Development and Local Government,59833.69
2010-09-16,Department of Infrastructure Transport Regional Development and Local Government,25371.91
2010-09-16,Department of Infrastructure Transport Regional Development and Local Government,190051.63
2010-09-16,Department of Infrastructure Transport Regional Development and Local Government,98063.78
2010-09-02,Department of Infrastructure Transport Regional Development and Local Government,42900.0
2010-09-14,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-08-19,Department of Infrastructure Transport Regional Development and Local Government,11209.28
2010-09-06,Department of Infrastructure Transport Regional Development and Local Government,165000.0
2010-09-24,Department of Infrastructure Transport Regional Development and Local Government,12000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,110000.0
2010-08-18,Department of Infrastructure Transport Regional Development and Local Government,110000.0
2010-09-20,Department of Infrastructure Transport Regional Development and Local Government,14000.0
2010-09-20,Department of Infrastructure Transport Regional Development and Local Government,13000.0
2010-09-20,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-07-21,Department of Infrastructure Transport Regional Development and Local Government,15226.0
2010-08-15,Department of Infrastructure Transport Regional Development and Local Government,131040.0
2010-09-17,Department of Infrastructure Transport Regional Development and Local Government,41000.0
2010-09-13,Department of Infrastructure Transport Regional Development and Local Government,18150.0
2010-08-30,Department of Infrastructure Transport Regional Development and Local Government,19734.0
2010-09-24,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-09-29,Department of Infrastructure Transport Regional Development and Local Government,683814.91
2010-09-09,Department of Infrastructure Transport Regional Development and Local Government,10068.26
2010-08-26,Department of Infrastructure Transport Regional Development and Local Government,11302.64
2010-09-24,Department of Infrastructure Transport Regional Development and Local Government,10440.0
2010-08-23,Department of Infrastructure Transport Regional Development and Local Government,29623.0
2010-09-28,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-10-06,Department of Infrastructure Transport Regional Development and Local Government,27500.0
2010-10-11,Department of Infrastructure Transport Regional Development and Local Government,19200.0
2010-10-06,Department of Infrastructure Transport Regional Development and Local Government,22000.0
2010-07-29,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-10-07,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-10-07,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-10-25,Department of Infrastructure Transport Regional Development and Local Government,19800.0
2010-10-12,Department of Infrastructure Transport Regional Development and Local Government,31350.0
2010-10-21,Department of Infrastructure Transport Regional Development and Local Government,49500.0
2010-10-12,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-05-27,Department of Infrastructure Transport Regional Development and Local Government,11550.0
2010-10-14,Department of Infrastructure Transport Regional Development and Local Government,38400.0
2010-09-29,Department of Infrastructure Transport Regional Development and Local Government,25300.0
2010-10-12,Department of Infrastructure Transport Regional Development and Local Government,16000.0
2010-10-06,Department of Infrastructure Transport Regional Development and Local Government,62480.0
2010-10-11,Department of Infrastructure Transport Regional Development and Local Government,33000.0
2010-10-11,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-10-14,Department of Infrastructure Transport Regional Development and Local Government,11600.0
2010-10-11,Department of Infrastructure Transport Regional Development and Local Government,29150.0
2010-10-15,Department of Infrastructure Transport Regional Development and Local Government,17000.0
2010-09-02,Department of Infrastructure Transport Regional Development and Local Government,178693.9
2010-09-22,Department of Infrastructure Transport Regional Development and Local Government,792733.24
2010-09-15,Department of Infrastructure Transport Regional Development and Local Government,16280.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,48000.0
2010-10-11,Department of Infrastructure Transport Regional Development and Local Government,40000.0
2010-10-22,Department of Infrastructure Transport Regional Development and Local Government,79200.0
2010-10-25,Department of Infrastructure Transport Regional Development and Local Government,79750.0
2010-09-13,Department of Infrastructure Transport Regional Development and Local Government,13700.0
2010-10-19,Department of Infrastructure Transport Regional Development and Local Government,14200.0
2010-10-19,Department of Infrastructure Transport Regional Development and Local Government,21175.0
2010-10-21,Department of Infrastructure Transport Regional Development and Local Government,11000.0
2010-10-19,Department of Infrastructure Transport Regional Development and Local Government,36300.0
2010-10-20,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-10-22,Department of Infrastructure Transport Regional Development and Local Government,14080.0
2010-10-23,Department of Infrastructure Transport Regional Development and Local Government,65000.0
2010-09-01,Department of Infrastructure Transport Regional Development and Local Government,44629.2
2010-10-27,Department of Infrastructure Transport Regional Development and Local Government,10600.0
2010-10-13,Department of Infrastructure Transport Regional Development and Local Government,12981.0
2010-10-19,Department of Infrastructure Transport Regional Development and Local Government,37396.81
2010-10-20,Department of Infrastructure Transport Regional Development and Local Government,30000.0
2010-05-31,Department of Infrastructure Transport Regional Development and Local Government,10267.0
2010-09-13,Department of Infrastructure Transport Regional Development and Local Government,12558.0
2010-08-31,Department of Infrastructure Transport Regional Development and Local Government,24895.2
2010-10-26,Department of Infrastructure Transport Regional Development and Local Government,22091.4
2010-04-22,Department of Infrastructure Transport Regional Development and Local Government,20000.0
2010-04-01,Department of Infrastructure Transport Regional Development and Local Government,44000.0
2010-04-19,Department of Infrastructure Transport Regional Development and Local Government,65000.0
2010-03-24,Department of Infrastructure Transport Regional Development and Local Government,60000.0
2010-04-16,Department of Infrastructure Transport Regional Development and Local Government,16320.0
2010-04-10,Department of Infrastructure Transport Regional Development and Local Government,110319.0
2010-04-22,Department of Infrastructure Transport Regional Development and Local Government,5411153.0
2010-06-16,Department of Infrastructure Transport Regional Development and Local Government,42161.55
2010-04-23,Department of Infrastructure Transport Regional Development and Local Government,25000.0
2010-05-01,Department of Infrastructure Transport Regional Development and Local Government,22000.0
2010-07-01,Department of Infrastructure Transport Regional Development and Local Government,14000.0
2010-03-26,Department of Infrastructure Transport Regional Development and Local Government,71280.0
2010-04-27,Department of Infrastructure Transport Regional Development and Local Government,57376.0
2010-04-27,Department of Infrastructure Transport Regional Development and Local Government,81341.2
2010-03-24,Department of Infrastructure Transport Regional Development and Local Government,66000.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,64120.0
2010-04-20,Department of Infrastructure Transport Regional Development and Local Government,56100.0
2010-04-28,Department of Infrastructure Transport Regional Development and Local Government,31625.0
2010-03-01,Department of Infrastructure Transport Regional Development and Local Government,15000.0
2010-04-12,Department of Infrastructure Transport Regional Development and Local Government,10000.0
